"participant_ID","d_score","whichPrime","questionnaire"
"no-closet-2024-11-05-21-47-34",-0.538910670300548,"Queer",1
"no-closet-2024-11-05-21-50-47",-0.651028439827043,"Queer",0.8
"no-closet-2024-11-05-21-50-52",-0.855845641647798,"Control",0.666666666666667
"no-closet-2024-11-05-21-53-29",0.158584823248198,"Queer",1.26666666666667
"no-closet-2024-11-05-22-08-48",0.0608083446332333,"Queer",1.21428571428571
"no-closet-2024-11-05-22-26-06",-0.0523798918256161,"Control",0.266666666666667
"no-closet-2024-11-05-22-38-50",-0.415294415343396,"Queer",1.13333333333333
"no-closet-2024-11-05-22-43-58",-0.466143134549535,"Control",0.666666666666667
"no-closet-2024-11-06-20-35-16",-0.758227909816213,"Control",0.285714285714286
"no-closet-2024-11-06-21-13-19",-0.197411727582547,"CisHet",0.333333333333333
"no-closet-2024-11-08-00-59-58",-0.964737314505396,"Control",1.2
"no-closet-2024-11-08-20-47-24",-0.157372390475169,"Queer",0.6
"no-closet-2024-11-08-20-55-26",0.241703319716816,"CisHet",0.285714285714286
"no-closet-2024-11-08-21-04-12",-0.60284630440657,"CisHet",0.8
"no-closet-2024-11-08-21-07-57",0.226129970846225,"Control",0.266666666666667
"no-closet-2024-11-08-21-13-30",-0.797935087826036,"CisHet",1
"no-closet-2024-11-08-21-20-52",-0.228932329400548,"Queer",0.333333333333333
"no-closet-2024-11-08-22-02-05",-0.73295800985512,"Queer",0.733333333333333
"no-closet-2024-11-08-22-05-56",-0.369758687508957,"CisHet",1
"no-closet-2024-11-08-22-18-04",-0.175233955810784,"Control",0.666666666666667
"no-closet-2024-11-09-00-21-43",0.0765429912222759,"Queer",0.466666666666667
"no-closet-2024-11-09-00-34-19",0.0150188801471567,"Queer",1.4
"no-closet-2024-11-09-04-38-53",-0.681006172019608,"CisHet",1.26666666666667
"no-closet-2024-11-10-03-59-03",-0.491008144354676,"Queer",0.666666666666667
"no-closet-2024-11-10-18-52-32",-0.79578422808223,"CisHet",1.13333333333333
"no-closet-2024-11-10-19-00-35",-0.879651210187801,"CisHet",0.4
"no-closet-2024-11-10-21-08-42",-0.547725730058506,"Control",0.866666666666667
"no-closet-2024-11-10-21-34-22",0.299765394088349,"CisHet",1.2
"no-closet-2024-11-11-00-17-51",-0.431308338529939,"Control",1.33333333333333
"no-closet-2024-11-11-00-32-11",-0.216891756090757,"CisHet",2.13333333333333
"no-closet-2024-11-11-00-33-45",0.220869218047034,"Queer",0.466666666666667
"no-closet-2024-11-11-00-40-30",-0.41266510097961,"Queer",1.06666666666667
"no-closet-2024-11-11-00-41-03",-0.563835892863064,"Queer",0.571428571428571
"no-closet-2024-11-11-00-45-04",-1.18537500636858,"Queer",1.26666666666667
"no-closet-2024-11-11-00-47-21",-0.192762861139983,"Control",2.07142857142857
"no-closet-2024-11-11-00-59-32",-0.270257021581237,"CisHet",0.8
"no-closet-2024-11-11-01-00-02",-0.242089609470376,"Control",0.333333333333333
"no-closet-2024-11-11-01-11-30",-0.488236656697402,"CisHet",1.93333333333333
"no-closet-2024-11-11-01-12-42",0.314331737885286,"Queer",0.266666666666667
"no-closet-2024-11-11-01-24-51",-0.802074790427616,"Queer",1.46666666666667
"no-closet-2024-11-11-02-02-21",-0.883324197921364,"Control",0.533333333333333
"no-closet-2024-11-11-02-41-42",-0.464856297240196,"Queer",0.4
"no-closet-2024-11-11-03-48-45",-0.137014766828174,"Queer",0.4
"no-closet-2024-11-11-04-31-06",0.36908955191601,"Queer",1
"no-closet-2024-11-11-04-39-39",-0.306463860247276,"Control",0.8
"no-closet-2024-11-11-16-07-35",NA,"CisHet",0.8
